Bathrooms,Bedrooms2,Date Created,Builder2,Floor,Furnished Status,Price2,Project Name,Property Type,Verified,Brand New,User Type,Prop ID2
1,1,20210425,,2,Unfurnished,3500000,,Apartment,,Resale,Owner,domcache_srp_53255551
2,2,20210705,,2,Unfurnished,3400000,,Apartment,,Resale,Owner,domcache_srp_52119421
2,2,20210620,,2,Unfurnished,1900000,,Apartment,,Resale,Owner,domcache_srp_53670355
1,1,20210813,,1,Unfurnished,2600000,,Apartment,,Resale,Owner,domcache_srp_51730009
3,3,20210629,,3,Unfurnished,5800000,,Apartment,,Resale,Owner,domcache_srp_51446966
2,2,20210525,,3,Unfurnished,5827500,,Apartment,,New Property,Owner,domcache_srp_48129015
2,2,20210606,,4,Furnished,3000000,,Apartment,,Resale,Owner,domcache_srp_22160713
2,2,20210621,,2,Furnished,3500000,,Apartment,,Resale,Owner,domcache_srp_54209563
2,3,20210607,Shanta Sriram Constructions,3,Semi-Furnished,9000000,Harmony Heights,Apartment,,Resale,Owner,domcache_srp_54179523
1,3,20210526,,,Unfurnished,2500000,,Residential House,,Resale,Owner,domcache_srp_44968495
2,2,20210526,,4,Furnished,5100000,,Apartment,,Resale,Owner,domcache_srp_46872379
2,2,20210526,,4,Semi-Furnished,4900000,,Apartment,,Resale,Owner,domcache_srp_55196497
1,1,20210526,AP Rajivswagruha Corporation Ltd.,4,Unfurnished,2000000,Aarambh Township,Apartment,,Resale,Owner,domcache_srp_52499525
2,2,20210425,,2,Furnished,6000000,,Apartment,,Resale,Owner,domcache_srp_41844337
1,1,20210621,,3,Unfurnished,3200000,,Apartment,,Resale,Owner,domcache_srp_54411649
2,2,20210531,,1,Unfurnished,3000000,,Apartment,,Resale,Owner,domcache_srp_55197109
2,2,20210621,,5,Unfurnished,3500000,,Apartment,,Resale,Owner,domcache_srp_53875997
5,4,20210623,,2,Unfurnished,11500000,,Residential House,,Resale,Owner,domcache_srp_52750587
2,3,20210521,,2,Semi-Furnished,8800000,,Apartment,,Resale,Owner,domcache_srp_53790335
1,1,20210720,,1,Semi-Furnished,2700000,,Apartment,,Resale,Owner,domcache_srp_54946241
2,3,20210607,Kalpataru Ltd.,13,Unfurnished,14500000,Kalpataru Residency,Apartment,,Resale,Owner,domcache_srp_48051703
2,2,20210428,,2,Furnished,2600000,,Apartment,,Resale,Owner,domcache_srp_54944721
2,2,20210720,,4,Unfurnished,3300000,,Apartment,,Resale,Owner,domcache_srp_47794863
3,3,20210720,,2,Unfurnished,6800000,,Apartment,,Resale,Owner,domcache_srp_47851943
2,2,20210720,SAI PRAGATHI GROUP,4,Semi-Furnished,5000000,Aakruthi Township,Apartment,,Resale,Owner,domcache_srp_48425291
3,3,20210603,Hallmark Builders,5,Unfurnished,12200000,Hallmark Silvanus,Apartment,,Resale,Owner,domcache_srp_53880819
2,3,20210518,,2,Furnished,6500000,,Apartment,,Resale,Owner,domcache_srp_55136423
2,3,20210620,,4,Furnished,13200000,Jyothi Enclave,Apartment,,Resale,Owner,domcache_srp_54425163
2,2,20210603,,,Semi-Furnished,6000000,,Villa,,Resale,Owner,domcache_srp_55276475
2,2,20210715,,2,Semi-Furnished,4000000,,Apartment,,Resale,Owner,domcache_srp_53345423
2,2,20210721,,,Semi-Furnished,10500000,,Residential House,,Resale,Owner,domcache_srp_52778119
2,2,20210519,,3,Unfurnished,5000000,,Apartment,,New Property,Owner,domcache_srp_44903281
2,2,20210421,,5,Furnished,4000000,,Apartment,,Resale,Owner,domcache_srp_54911793
1,1,20210602,,,Unfurnished,2400000,,Residential House,,Resale,Owner,domcache_srp_53173479
2,2,20210602,,4,Furnished,7540000,,Apartment,,Resale,Owner,domcache_srp_39907081
1,3,20210602,,1,Unfurnished,3500000,,Residential House,,Resale,Owner,domcache_srp_54138951
2,2,20210602,,Ground,Unfurnished,4000000,,Apartment,,New Property,Owner,domcache_srp_54528597
3,5,20210602,,5,Unfurnished,8200000,,Builder Floor Apartment,,Resale,Owner,domcache_srp_54659619
2,2,20210602,Svadha Builders,1,Unfurnished,5825000,Suja Elysian,Apartment,,Resale,Owner,domcache_srp_54934887
3,3,20210422,,1,Unfurnished,11000000,,Residential House,,New Property,Owner,domcache_srp_42282433
1,1,20210731,,Ground,Semi-Furnished,1550000,,Apartment,,Resale,Owner,domcache_srp_54560589
2,3,20210622,,5,Unfurnished,4500000,,Apartment,,Resale,Owner,domcache_srp_52727759
2,2,20210422,,4,Furnished,4900000,,Apartment,,Resale,Owner,domcache_srp_52544869
2,2,20210622,,2,Semi-Furnished,6500000,,Apartment,,Resale,Owner,domcache_srp_52733299
3,3,20210622,Power Welfare Society,19,Semi-Furnished,11000000,7 Hills,Apartment,,Resale,Owner,domcache_srp_52723187
2,2,20210521,,3,Unfurnished,4600000,,Apartment,,Resale,Owner,domcache_srp_55125659
2,2,20210622,,2,Furnished,4600000,,Apartment,,Resale,Owner,domcache_srp_52190259
3,3,20210518,,3,Unfurnished,5500000,,Apartment,,Resale,Owner,domcache_srp_55126153
2,2,20210602,,1,Furnished,4500000,,Apartment,,Resale,Owner,domcache_srp_54063267
3,3,20210518,,1,Unfurnished,14500000,,Residential House,,New Property,Owner,domcache_srp_48333575
2,2,20210518,,1,Semi-Furnished,3800000,,Apartment,,Resale,Owner,domcache_srp_55133957
2,2,20210603,,2,Furnished,6000000,,Apartment,,Resale,Owner,domcache_srp_54755833
1,2,20210720,,3,Furnished,1600000,,Apartment,,Resale,Owner,domcache_srp_45981451
1,1,20210620,,2,Unfurnished,2600000,,Apartment,,Resale,Owner,domcache_srp_51643257
2,2,20210622,Sai Priya Constructions Ltd,2,Unfurnished,3000000,Sai Priya Homes,Apartment,,Resale,Owner,domcache_srp_53852877
2,2,20210518,Dwaraka Group,5,Semi-Furnished,7800000,Trendz Dwaraka,Apartment,,Resale,Owner,domcache_srp_53860765
2,2,20210422,,1,Furnished,3000000,,Apartment,,Resale,Owner,domcache_srp_54915435
2,2,20210518,My Home Group,4,Unfurnished,14000000,My Home Krishe,Apartment,,Resale,Owner,domcache_srp_54787207
2,3,20210810,,2,Furnished,6800000,,Apartment,,Resale,Owner,domcache_srp_53493365
